############################################## User Management System log ##############################################
2020/09/29 11:29:28.695 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/09/29 11:29:29.022 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/09/29 11:29:29.022 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/09/29 11:29:29.038 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/09/29 11:29:29.671 [DEBUG] [UMS.Models.EditAccountContext]  EditAccountContext.cs:24 | Start Edit Account Context.
2020/09/29 11:29:29.676 [DEBUG] [UMS.Models.AccountContext]  AccountContext.cs:24 | Start Account Context.
2020/09/29 11:29:29.676 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:51 | Start Login model.
2020/09/29 11:29:29.709 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:117 | Getting external authentication scheme.
2020/09/29 11:34:16.239 [DEBUG] [UMS.Areas.Identity.Pages.Account.ForgotPasswordModel]  ForgotPassword.cshtml.cs:44 | Start Forgot Password model.
2020/09/29 11:34:18.862 [DEBUG] [UMS.Models.AccountContext]  CheckUserExist:AccountContext.cs:24 | Start Account Context.
2020/09/29 11:34:18.862 [DEBUG] [UMS.Models.EditAccountContext]  CheckUserExist:EditAccountContext.cs:24 | Start Edit Account Context.
2020/09/29 11:34:19.502 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:266 | Check user is exist.
2020/09/29 11:34:19.518 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:273 | Save changes: Check user is exist.
2020/09/29 11:34:21.386 [DEBUG] [UMS.Models.AccountContext]  CheckUserExist:AccountContext.cs:24 | Start Account Context.
2020/09/29 11:34:21.386 [DEBUG] [UMS.Models.EditAccountContext]  CheckUserExist:EditAccountContext.cs:24 | Start Edit Account Context.
2020/09/29 11:34:21.411 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:266 | Check user is exist.
2020/09/29 11:34:21.411 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:273 | Save changes: Check user is exist.
2020/09/29 11:34:21.456 [DEBUG] [UMS.Areas.Identity.Pages.Account.ForgotPasswordModel]  ForgotPassword.cshtml.cs:44 | Start Forgot Password model.
2020/09/29 11:34:21.964 [DEBUG] [UMS.Areas.Identity.Pages.Account.ForgotPasswordModel]  ForgotPassword.cshtml.cs:75 | Finding user.
2020/09/29 11:34:22.024 [DEBUG] [UMS.Areas.Identity.Pages.Account.ForgotPasswordModel]  ForgotPassword.cshtml.cs:92 | Generating code.
2020/09/29 11:34:22.244 [DEBUG] [EmailService.EmailSender]  EmailSender.cs:84 | Creating message.
2020/09/29 11:34:26.356 [INFO] [EmailService.EmailSender]  EmailSender.cs:177 | Sending email.
